,time,low,high,open,close,volume
0,1515275580,16800.0,16800.0,16800.0,16800.0,0.2800609
1,1515275520,16799.99,16800.0,16799.99,16800.0,1.18160702
2,1515275460,16799.98,16799.99,16799.99,16799.99,2.680861819999999
3,1515275400,16799.98,16799.99,16799.99,16799.99,1.8709168900000002
4,1515275340,16799.98,16799.99,16799.98,16799.99,3.545657139999999
5,1515275280,16799.0,16799.99,16799.0,16799.98,2.05131186
6,1515275220,16797.99,16799.0,16798.0,16799.0,3.403470979999999
7,1515275160,16785.92,16798.0,16785.92,16798.0,1.54472561
8,1515275100,16783.86,16785.92,16783.86,16785.92,1.14482704
9,1515275040,16783.84,16783.86,16783.85,16783.86,1.8289875800000002
10,1515274980,16783.84,16783.85,16783.84,16783.85,0.65941543
11,1515274920,16783.84,16783.85,16783.85,16783.85,0.8884694299999991
12,1515274860,16783.84,16783.86,16783.86,16783.85,1.09148012
13,1515274800,16783.84,16783.86,16783.85,16783.85,1.753441189999999
14,1515274740,16783.85,16783.86,16783.86,16783.86,1.71969439
15,1515274680,16783.85,16783.86,16783.86,16783.86,0.73860812
16,1515274620,16774.99,16783.86,16774.99,16783.85,2.50252639
17,1515274560,16751.05,16774.99,16751.06,16774.99,8.31244307
18,1515274500,16750.0,16784.3,16784.3,16751.06,4.67792481
19,1515274440,16768.74,16808.75,16808.75,16784.29,2.03074713
20,1515274380,16800.85,16808.75,16800.85,16808.75,2.363824749999999
21,1515274320,16799.99,16800.86,16800.0,16800.86,5.23099054
22,1515274260,16799.0,16800.0,16799.0,16800.0,3.16255161
23,1515274200,16784.29,16799.0,16784.3,16799.0,2.8351904
24,1515274140,16782.92,16784.3,16782.92,16784.3,1.16445492
25,1515274080,16776.46,16782.0,16776.47,16782.0,3.20011868
26,1515274020,16776.43,16776.47,16776.43,16776.46,1.01629572
27,1515273960,16768.72,16768.75,16768.72,16768.75,1.299107609999999
28,1515273900,16768.71,16768.72,16768.71,16768.72,1.5899454899999999
29,1515273840,16768.71,16768.72,16768.72,16768.72,0.9387199700000001
30,1515273780,16768.71,16768.72,16768.72,16768.72,1.54627131
31,1515273720,16768.72,16784.3,16784.3,16768.72,2.04705514
32,1515273660,16773.19,16784.3,16773.19,16784.3,0.96717744
33,1515273600,16712.2,16773.19,16738.24,16773.19,4.396370559999999
34,1515273540,16721.06,16773.29,16773.29,16738.22,2.47676288
35,1515273480,16770.99,16789.07,16789.03,16773.36,3.598686919999999
36,1515273420,16785.0,16800.01,16800.0,16785.0,4.587185519999999
37,1515273360,16803.11,16817.92,16817.91,16803.39,2.18027192
38,1515273300,16817.91,16817.92,16817.92,16817.92,2.54755002
39,1515273240,16817.91,16817.92,16817.92,16817.91,1.14484694
40,1515273180,16811.08,16827.27,16827.26,16817.92,0.8916528100000001
41,1515273120,16823.01,16843.12,16843.12,16823.01,1.26906903
42,1515273060,16839.99,16844.44,16844.44,16843.11,1.42518229
43,1515273000,16837.49,16844.44,16837.49,16844.44,1.72799096
44,1515272940,16830.88,16843.72,16840.0,16837.49,3.318978389999999
45,1515272880,16844.43,16844.44,16844.44,16844.44,4.406063499999999
